"Ri,Exp1-20","RE,orig.,Exp1-20,1.46um","RE,orig.,Exp1-20,16um","RE,corr.,Exp1-20,1.46um","RE,corr.,Exp1-20,16um","Ri,Exp21-35","RE,orig.,Exp21-35,0.04um","RE,orig.,Exp21-35,0.5um","RE,orig.,Exp21-35,16um","RE,corr.,Exp21-35,0.04um","RE,corr.,Exp21-35,0.5um","RE,corr.,Exp21-35,16um"
0.12127122348765002,0.05961317666434313,0.007478800710812638,0.05421844197807181,0.006868200376618849,0.08519308604677517,0.2056883086205953,0.30853210388860686,0.03156186744991315,0.05076039765046585,0.06447834969287035,0.017604604829876375
-0.0,0.05074404792635174,0.012459251325806572,0.006279760476099267,0.015413976152608776,-0.0,0.06735073282272037,0.08679211758667568,0.024637697695607353,0.0015961583149225905,0.004756184480632837,0.03069517500628587
-0.35279306527902715,0.12528702924704313,0.01035591288465371,0.05326077011638624,0.023818388277069284,-0.13097615549813094,0.2481044122282539,0.3307699066171933,0.03217904505328767,0.08953861357869446,0.13993393090762932,0.04015330133557195
-0.6484150835491339,0.21751981814094565,0.003037202615943655,0.011960256552859337,0.021365756052980096,-0.20738009964909268,0.33252652074959854,0.4156694567635227,0.04286116154688871,0.07067409121937422,0.10933796173315798,0.05031686614671006
-0.8261113601765658,0.2527802006689445,0.0007062982527598201,0.008467521016328854,0.020113283612803894,-0.28922247942058554,0.388693994101814,0.4809333004863364,0.045098606268408926,0.0032413301627742005,0.010681432982599454,0.0557159608949959
0.06139965367723026,0.02078273233504069,0.007521209758270937,0.0591039384071381,0.0026746814947341056,,,,,,,
-0.0,0.0148744457580569,0.043704209293310196,0.01912564209818702,0.03948635213459681,,,,,,,
-0.05517587025362674,0.05194808341951298,0.047828106286561485,0.03607794827253619,0.04137831963522055,,,,,,,
-0.10882535233171114,0.07321223406799325,0.0460579518435619,0.031212033245025722,0.03919298996820549,,,,,,,
-0.14720535879289548,0.09802981806507867,0.04320937288067065,0.04032651913658733,0.03533884717560155,,,,,,,
0.028100924574839727,0.015173267490357419,0.025644925749197224,0.07144577249403253,0.013598484902107131,,,,,,,
-0.0,0.0008606426145100668,0.056421094061879694,0.0315336992479853,0.04178697003144454,,,,,,,
-0.018460024352424952,0.003953566868648428,0.059389435864066115,0.02443140570611934,0.04592225550070247,,,,,,,
-0.035302646588916804,0.013345656817250058,0.058616545793339754,0.028819434056211655,0.04471928052329872,,,,,,,
-0.05157689377426428,0.024531777953028,0.05814414292445208,0.0355267163127109,0.04278381573833009,,,,,,,
0.009581240914315418,0.0021911737385675507,0.05320911801737615,0.0209079439926153,0.029381827043631986,,,,,,,
-0.0,0.015236914989166938,0.05880121738335726,0.01927104781542703,0.04455311256315489,,,,,,,
-0.008305800697467591,0.019008536258887244,0.05944871883046345,0.016609018084245978,0.042229554627680015,,,,,,,
-0.0153816898116619,0.017790611258362635,0.059000940370247626,0.016185111533624577,0.0422237206827593,,,,,,,
-0.023030895506920616,0.016347601993882684,0.059845531080279395,0.016296864781097986,0.04227028773999089,,,,,,,
