dp,"vd,newscheme,H0=0,Exp5","vd,newscheme,H0=200,Exp9","vd,newscheme,H0=600,Exp17","dp&Exp5,9,17","vd,LES,Exp5","vd,LES,Exp9","vd,LES,Exp17","dp&Exp24,27,33","vd,LES,Exp24","vd,LES,Exp27","vd,LES,Exp33",dp,"vd,newscheme,H0=0,Exp=24","vd,newscheme,H0=200,Exp=27","vd,scheme,H0=600,Exp=33"
0.001,0.0006463055800213402,0.0009147327889901533,0.0012381495613318014,1.46,0.00039125417242757976,0.0005131437792442739,0.0007274162489920855,0.04,0.0004880048402083774,0.0007767706424160531,0.0013978611482754876,0.001,0.011023416518438712,0.012327430337189254,0.014112771733627549
0.0011233240329780276,0.0005613875019287658,0.0007958655132933854,0.0010800219965118416,2.8,0.00121048535220325,0.0015640781493857503,0.002158838789910078,0.1,0.00017499739654857073,0.0003001224463123025,0.0005805053432520184,0.0011233240329780276,0.010883943854044505,0.0121982551663234,0.013995696214215389
0.0012618568830660211,0.0004886077216811367,0.000693611523575424,0.0009432832686388078,4.8,0.00323255592957139,0.003913211636245251,0.004928880836814642,0.2,0.00012164237249364008,0.00021853880836981564,0.00042800537716486647,0.0012618568830660211,0.010717815082604493,0.012044218787466084,0.013855657227313965
0.0014174741629268048,0.0004262840492824349,0.0006057808137028165,0.0008253123393478096,9.0,0.008143073879182339,0.008889861404895782,0.009997650980949402,0.5,0.0001717612432414974,0.0003038090952537147,0.0005738019247654343,0.0014174741629268048,0.010521451152271455,0.011861853090671245,0.013689235559894812
0.0015922827933410922,0.00037291919989135947,0.0005303881503539455,0.0007236711189297937,16.0,0.020600857213139534,0.02116122655570507,0.02218555100262165,1.0,0.0003366180384998232,0.0005520205875888743,0.0009771529224799852,0.0015922827933410922,0.010291365874605203,0.011647688006051055,0.013492897809793982
0.001788649529057435,0.00032719768873829973,0.0004656639089526743,0.0006361415293718996,,,,,1.46,0.0005307478901256326,0.0008250872511992283,0.0013921668092963877,0.001788649529057435,0.01002440727775255,0.011398441277729304,0.013263141619672892
0.002009233002565048,0.00028797579935956145,0.00041005166112153293,0.0005607406406449507,,,,,2.8,0.0013602580490177578,0.001937771052420641,0.002971202356397349,0.002009233002565048,0.009718054001084539,0.011111255372685562,0.01299668582948706
0.002257019719633919,0.00025426768686923675,0.0003621973606653695,0.0004957205526559748,,,,,4.8,0.0035233999967491077,0.004670581080119666,0.006533815734761281,0.002257019719633919,0.00937074913533462,0.010783970658339734,0.012690700727168035
0.0025353644939701114,0.00022522973033307903,0.00032093369166622134,0.00043955831418079943,,,,,9.0,0.010434851673919823,0.01194808115943594,0.014123313849982826,0.0025353644939701114,0.008982239571231156,0.01041541413318122,0.012343065959775107
0.002848035868435802,0.00020014451225901564,0.0002852620630200723,0.0003909398349610745,,,,,16.0,0.02315045418225382,0.024180023398885902,0.02583560984653741,0.002848035868435802,0.008553875450538907,0.010005673393356517,0.011952635429183952
0.0031992671377973846,0.0001784052646851908,0.00025433389171100905,0.0003487406032990981,,,,,,,,,0.0031992671377973846,0.008088816058109155,0.009556318651448825,0.011519481299587105
0.003593813663804626,0.00015950124997465013,0.0002274322025905802,0.00031200512184909865,,,,,,,,,0.003593813663804626,0.007592090068081334,0.009070534170694035,0.01104508510033812
0.004037017258596553,0.00014300430574064042,0.00020395415142431783,0.0002799263147499786,,,,,,,,,0.004037017258596553,0.007070472510687832,0.008553126421189858,0.010532444648907966
0.004534878508128582,0.0001285566433041494,0.0001833948095987857,0.0002518257060410814,,,,,,,,,0.004534878508128582,0.006532167733249891,0.008010389999572076,0.009986072165205796
0.0050941380148163806,0.00011585991707878923,0.0001653323907983119,0.00022713487610630386,,,,,,,,,0.0050941380148163806,0.005986322076780214,0.007449832082668004,0.009411871160529883
0.00572236765935022,0.00010466555126820998,0.00014941501295386088,0.0002053785197496307,,,,,,,,,0.00572236765935022,0.005442423395876134,0.006879778086351705,0.008816895598015665
0.006428073117284319,9.476629813316653e-05,0.00013534903918891011,0.0001861593107645054,,,,,,,,,0.006428073117284319,0.004909667406247127,0.006308900358135304,0.008209011387535605
0.007220809018385464,8.598899221326608e-05,0.00012288900361300412,0.00016914468673866927,,,,,,,,,0.007220809018385464,0.004396376336012091,0.005745723631138669,0.007596494048919481
0.008111308307896872,7.818844774569876e-05,0.0001118290860571756,0.00015405558101255708,,,,,,,,,0.008111308307896872,0.003909542127780423,0.005198162934764867,0.00698760450157656
