dp,"vd,zs14,H0=0,Exp5","vd,zs14,H0=200,Exp9","vd,zs14,H0=600,Exp17","dp&Exp5,9,17","vd,LES,Exp5","vd,LES,Exp9","vd,LES,Exp17","dp&Exp24,27,33","vd,LES,Exp24","vd,LES,Exp27","vd,LES,Exp33",dp,"vd,zs14,H0=0,Exp=24","vd,zs14,H0=200,Exp=27","vd,zs14,H0=600,Exp=33"
0.001,0.0006761991938156571,0.0008124411302286076,0.0009647837249953889,1.46,0.00039125417242757976,0.0005131437792442739,0.0007274162489920855,0.04,0.0004880048402083774,0.0007767706424160531,0.0013978611482754876,0.001,0.01072224975805024,0.011571925348007613,0.012879057421197842
0.0011233240329780276,0.0005873039460687805,0.0007060407701228634,0.0008391447773337028,2.8,0.00121048535220325,0.0015640781493857503,0.002158838789910078,0.1,0.00017499739654857073,0.0003001224463123025,0.0005805053432520184,0.0011233240329780276,0.010578218043761354,0.011432328329939234,0.012747343710740985
0.0012618568830660211,0.0005111236693595014,0.0006147286538089497,0.0007311066996131505,4.8,0.00323255592957139,0.003913211636245251,0.004928880836814642,0.2,0.00012164237249364008,0.00021853880836981564,0.00042800537716486647,0.0012618568830660211,0.010406443536946459,0.011265380145381384,0.01258925612311542
0.0014174741629268048,0.00044589472910115587,0.0005364531008326145,0.0006383419105885696,9.0,0.008143073879182339,0.008889861404895782,0.009997650980949402,0.5,0.0001717612432414974,0.0003038090952537147,0.0005738019247654343,0.0014174741629268048,0.010203150177893696,0.011067134874765619,0.012400706827677976
0.0015922827933410922,0.0003900476380629076,0.0004693745357027405,0.0005587416181916712,16.0,0.020600857213139534,0.02116122655570507,0.02218555100262165,1.0,0.0003366180384998232,0.0005520205875888743,0.0009771529224799852,0.0015922827933410922,0.009964662754416284,0.010833634221657982,0.012177445968652199
0.001788649529057435,0.0003422037442634847,0.000411867520626678,0.0004904272656376269,,,,,1.46,0.0005307478901256326,0.0008250872511992283,0.0013921668092963877,0.001788649529057435,0.009687679106927014,0.010561151102228692,0.011915256661091687
0.002009233002565048,0.0003011646403868535,0.000362512553932039,0.00043174772212968327,,,,,2.8,0.0013602580490177578,0.001937771052420641,0.002971202356397349,0.002009233002565048,0.009369610718565308,0.010246507660424562,0.011610226467258108
0.002257019719633919,0.00026589752722037296,0.0003200817967576164,0.0003812674935259263,,,,,4.8,0.0035233999967491077,0.004670581080119666,0.006533815734761281,0.002257019719633919,0.009008972195877596,0.009887456674076237,0.011259095032527252
0.0025353644939701114,0.00023551875233595953,0.0002835216676901015,0.00033774981167947513,,,,,9.0,0.010434851673919823,0.01194808115943594,0.014123313849982826,0.0025353644939701114,0.008605780622398758,0.009483097294590426,0.010859663293417476
0.002848035868435802,0.0002092769710300025,0.00025193428003721243,0.0003001372692051975,,,,,16.0,0.02315045418225382,0.024180023398885902,0.02583560984653741,0.002848035868435802,0.008161906124290751,0.009034275461656091,0.01041123066762336
