"tau,4,-50","tau,4,0","tau,4,200","tau,4,400","tau,4,600","tau*p(tau),4,-50","tau*p(tau),4,0","tau*p(tau),4,200","tau*p(tau),4,400","tau*p(tau),4,600","tau,8,-50","tau,8,0","tau,8,200","tau,8,400","tau,8,600","tau*p(tau),8,-50","tau*p(tau),8,0","tau*p(tau),8,200","tau*p(tau),8,400","tau*p(tau),8,600","tau,12,-50","tau,12,0","tau,12,200","tau,12,1200","tau,12,600","tau*p(tau),12,-50","tau*p(tau),12,0","tau*p(tau),12,200","tau*p(tau),12,1200","tau*p(tau),12,600","tau,16,-50","tau,16,0","tau,16,200","tau,16,1600","tau,16,600","tau*p(tau),16,-50","tau*p(tau),16,0","tau*p(tau),16,200","tau*p(tau),16,1600","tau*p(tau),16,600"
0.04747823847035361,0.02473699827794998,0.04613331140422079,0.05529282011518587,0.056320000041868025,3.3661439117286367,34.92383772276996,12.55685826383814,10.549033170285648,11.918611414703403,0.04888832189836209,0.041976009642129136,0.08425668193895498,0.08109362777267873,0.1269213452036407,10.991563434977113,17.05033682661071,16.023013421560467,14.606316854394917,8.178075169251942,0.051243849367999535,0.09951576848589402,0.12812428371133336,0.16958330497406213,0.17220596832426166,42.155493562505654,10.535211978525744,9.61681126841809,10.514039368027904,8.560630849601964,0.0936152870969491,0.14911359437960106,0.2264859882658124,0.21796512497158277,0.22081955164899528,24.394775119044343,3.6834398988745076,6.624350994560426,3.976324341368197,4.936215742009336
0.04774127320927984,0.02487402116328502,0.04638888665578801,0.05559914184871383,0.05663200800056689,3.2466358438567418,34.15896336444376,12.265706377816127,10.544522971342786,11.844837341297396,0.04914517642452939,0.04219741487908009,0.08471660359659666,0.08154243347472832,0.12762418763368938,10.757932761022921,17.57217462153035,15.939773824201104,14.472512750524734,8.064182739564371,0.05147112179924348,0.09978809051690316,0.1286189073337856,0.17044853251042616,0.17310027600660755,41.95805856900864,10.628627987137635,9.560900665807937,10.457834711041427,8.479589652469295,0.0938854415105775,0.14946798776945064,0.22725102558628388,0.2188190471167499,0.22174448435370017,24.055726731973156,3.6637955845453516,6.693193333030344,4.047357244973764,5.00503065013458
0.04800430794820607,0.025011044048620066,0.04664446190735522,0.0559054635822418,0.056944015959265744,3.188639281506956,33.002836785588244,12.087655801363956,10.326422636748418,11.666468026040528,0.04940203095069668,0.042418820116031056,0.08517652525423834,0.08199123917677792,0.12832703006373802,10.478240755009127,17.677465044781822,15.816538615426225,14.500073029781015,7.983219781781371,0.051698394230487416,0.10006041254791227,0.12911353095623782,0.17131376004679025,0.1739945836889534,41.87831596822947,10.66101674924697,9.763342075929932,10.32421406100138,8.460742862438067,0.0941555959242059,0.14982238115930027,0.22801606290675536,0.2196729692619171,0.22266941705840507,24.100283398858693,3.773017972217314,6.809221105600907,4.12120977528703,5.126108775654932
0.0482673426871323,0.025148066933955108,0.04690003715892243,0.056211785315769765,0.0572560239179646,2.987701696800565,32.09420944502223,12.024199621076638,10.15310213451588,11.544822776112978,0.04965888547686398,0.04264022535298201,0.08563644691188002,0.08244004487882751,0.1290298724937867,10.278799935780276,17.981590769312966,15.747510656640497,14.363323552555197,7.866061619342711,0.05192566666173136,0.10033273457892139,0.12960815457869004,0.17217898758315434,0.17488889137129926,41.75678055860822,10.867282023737358,9.754336341281,10.321414595327704,8.413311774193573,0.09442575033783428,0.15017677454914988,0.22878110022722684,0.22052689140708423,0.22359434976311,24.05398623717443,3.7698748819245957,6.902624067461671,4.212630748935074,5.168641605166458
0.04853037742605853,0.025285089819290153,0.04715561241048965,0.05651810704929774,0.057568031876663456,2.927947662864669,31.209314908127727,11.89803380380064,10.135705652879127,11.484491978305403,0.04991574000303127,0.04286163058993297,0.08609636856952171,0.08288885058087711,0.12973271492383537,10.139191362320444,18.518529979519673,15.62326033082465,14.31745988173177,7.749175601299958,0.0521529390929753,0.10060505660993051,0.13010277820114227,0.17304421511951837,0.17578319905364514,41.68184172896193,10.917058437085302,9.865407068614239,10.306232877636232,8.363158371833505,0.09469590475146265,0.15053116793899948,0.22954613754769831,0.22138081355225137,0.2245192824678149,24.068606393492903,3.902932370982652,6.92004638159114,4.239634097023081,5.248691600332537
0.04879341216498477,0.025422112704625195,0.047411187662056854,0.0568244287828257,0.057880039835362315,2.8494472653407743,30.1521880245895,11.558729875089902,9.98783555896647,11.376290003976594,0.05017259452919857,0.04308303582688393,0.0865562902271634,0.0833376562829267,0.130435557353884,9.851901610811854,18.953954120296668,15.48337720257834,14.232044054418415,7.63365030523675,0.05238021152421924,0.10087737864093964,0.1305974018235945,0.17390944265588243,0.176677506735991,41.84613070164993,11.059568990369135,9.918128140203006,10.214711884458001,8.3229518864342,0.09496605916509104,0.1508855613288491,0.23031117486816982,0.22223473569741853,0.22544421517251984,23.975315872207187,3.955579133386038,7.032565493677296,4.322379296184809,5.311387398551444
0.049056446903911,0.02555913558996024,0.04766676291362406,0.057130750516353676,0.05819204779406117,2.826014310856064,29.46393671811511,11.541932650895934,9.813226428464532,11.190379338993766,0.05042944905536585,0.04330444106383489,0.08701621188480506,0.0837864619849763,0.13113839978393269,9.545617495567548,19.35791697922562,15.326237084635997,14.158409720527594,7.608340876417425,0.052607483955463184,0.10114970067194876,0.13109202544604673,0.17477467019224652,0.17757181441833686,41.2307676197336,11.020702475837181,10.02113123024654,10.121575814930331,8.287038280986383,0.09523621357871943,0.15123995471869867,0.2310762121886413,0.22308865784258566,0.22636914787722476,23.947119856444598,4.019750560195704,7.097173241907709,4.40056971374147,5.3521145890744455
0.049319481642837226,0.025696158475295282,0.04792233816519128,0.05743707224988164,0.05850405575276003,2.775047634851819,28.362056547652593,11.38553183007144,9.889255496358482,11.175624524312262,0.05068630358153315,0.04352584630078584,0.08747613354244674,0.0842352676870259,0.13184124221398133,9.56983530933105,19.77152796458797,15.13316182344208,14.122434088826646,7.532412589958744,0.052834756386707114,0.10142202270295787,0.13158664906849896,0.1756398977286106,0.17846612210068272,41.11499673546987,11.121278105547063,9.992237831582235,10.018749287300725,8.260338661776204,0.09550636799234782,0.15159434810854827,0.2318412495091128,0.22394257998775285,0.22729408058192965,23.659938214416744,4.101732831997441,7.202554044732187,4.463902867490256,5.402973420589434
0.04958251638176345,0.025833181360630324,0.04817791341675849,0.057743393983409615,0.05881606371145888,2.7035771236735586,27.96063312555261,11.062278582256809,9.573541570357921,11.118244689440925,0.05094315810770044,0.04374725153773681,0.08793605520008843,0.08468407338907549,0.13254408464403,9.2697243623013,20.249319964920343,15.014596153056239,14.080146942792204,7.408586889820323,0.053062028817951065,0.10169434473396699,0.13208127269095118,0.17650512526497464,0.17936042978302863,41.17312236615988,11.234809240100931,10.103120939442983,10.00992020325298,8.253532876486963,0.0957765224059762,0.15194874149839788,0.23260628682958429,0.22479650213292,0.22821901328663458,23.836424387152974,4.129758720440846,7.2409073334755325,4.53179080284444,5.4544341317677
0.04984555112068969,0.025970204245965366,0.0484334886683257,0.05804971571693758,0.05912807167015774,2.5084977775882393,27.06556738708378,11.10371173526734,9.483015434433602,11.021190797315695,0.05120001263386774,0.04396865677468776,0.08839597685773011,0.08513287909112509,0.13324692707407867,9.031345097413151,20.49933228467284,14.813196932127385,14.033231352913191,7.253600656350532,0.053289301249194995,0.10196666676497611,0.1325758963134034,0.17737035280133873,0.1802547374653745,40.9756873726629,11.41720911093072,10.133140054938693,9.89341936252578,8.204112404850317,0.09604667681960459,0.15230313488824748,0.23337132415005576,0.22565042427808712,0.2291439459913395,23.714937850103222,4.19785901011641,7.317976875839922,4.62245264622496,5.523349353169922
