3.703494053489682727e-04,1.192062448178536410e-03,3.241476256026514739e-03,8.778170124051123610e-03,2.468964139868954147e-02
3.716209215226824584e-04,1.166405465251543587e-03,3.284069252335359342e-03,8.632555592827143368e-03,2.085851648346267323e-02
4.504023709322251229e-04,1.416241817685827626e-03,3.964994235577525700e-03,9.707830923223298783e-03,2.163472473732609355e-02
4.838602126992654464e-04,1.527766676434887116e-03,4.262175384182114932e-03,1.017618822895465479e-02,2.212472656270282612e-02
5.473613967379634517e-04,1.733699330771036867e-03,4.761270618789292981e-03,1.082302956118456894e-02,2.271591483665485675e-02
5.484836617954428825e-04,1.732556751395026174e-03,4.539511673784724609e-03,1.009066673904189700e-02,2.318160957418752971e-02
1.092818686522646415e-03,3.313651222424398267e-03,7.618397166630670909e-03,1.333577252541421135e-02,2.358107528603253095e-02
1.552124516619361001e-03,4.600001208821553195e-03,9.658460303878959111e-03,1.539781120541448313e-02,2.503653345909447048e-02
1.588492793715580616e-03,4.714461980479321516e-03,9.869244134151407971e-03,1.566757748251838486e-02,2.529736146595036594e-02
1.758428762241503671e-03,5.177272156476950445e-03,1.054524557626945747e-02,1.634412449773427201e-02,2.583645616592024352e-02
9.483204810736944445e-04,2.922047961625998114e-03,6.835922215359480601e-03,1.246301819628579596e-02,2.378231150520102033e-02
2.839400767263977783e-03,7.715420998039228262e-03,1.358783140329584277e-02,1.889948502459776886e-02,2.746284617607638173e-02
3.900898114454928473e-03,9.984174527905712374e-03,1.621708435861554318e-02,2.124731233869200930e-02,2.922711600166876325e-02
4.070823599866242072e-03,1.034290625348344671e-02,1.664626074757774576e-02,2.164992336426701733e-02,2.955655606875837171e-02
4.201949772858054426e-03,1.061855401428112022e-02,1.697514963132884871e-02,2.195885525593214635e-02,2.981845299929852117e-02
2.028342191162069066e-03,5.797132467807475029e-03,1.117241529966789965e-02,1.667067507080109007e-02,2.590646915976686435e-02
5.355879052839541792e-03,1.267524760368647814e-02,1.901644573088252452e-02,2.359117403722969797e-02,3.102067184471389572e-02
7.809657103447960498e-03,1.667320781149008585e-02,2.300581352373900698e-02,2.700393768252783502e-02,3.371845568397771609e-02
8.336655905073594303e-03,1.747738109564608497e-02,2.379136559991840150e-02,2.769066812374412420e-02,3.427547194943982717e-02
8.385840841266698972e-03,1.756927954806189462e-02,2.390072996437305267e-02,2.779831637662559876e-02,3.437073719706035257e-02
